ReferenceID,TypeofChange,Location,OldText,NewTextEN,NewTextFR,NewTextSP,Language,Change to Structure,Text Change,Owner,Priority,Complete
C0001,Edit Text,Getting Started,,"Insert onscreen: Introducing… Human Rights Impact Assessments 
The arrival of private investment in a community can be good news for a local population. Unfortunately, in many cases, the opposite can also be true: relations between communities and companies are sometimes difficult and consultation is often limited or nonexistent. 
A growing number of stakeholders are concerned about the impact of private investment on local communities. They are concerned that human rights are not adequately taken into account and that negative impacts will, or could, go unaddressed. Various solutions—including human rights impact assessments—have been proposed by different stakeholders to remedy this problem. Communities wanting to undertake their own human rights impact assessments require appropriate assessment tools and training. This is where the Getting it Right tool has been identified as a powerful methodology for communities to implement.","Insert onscreen:
L’arrivée d’une entreprise dans une communauté peut être une bonne nouvelle pour la population locale. Malheureusement, dans de nombreux cas, la situation est tout autre : souvent aux prises avec une relation de pouvoir très inégale face au gouvernement et à l’entreprise en question, les préoccupations de la communauté sont dans bien des cas négligées. Un nombre grandissant d’acteurs s’inquiètent du fait que les droits humains ne sont pas suffisamment pris en compte et que les impacts négatifs ne seront pas, ou pourraient ne pas être, pris en compte. Différentes solutions ont été envisagées par différents acteurs afin de remédier à ce problème. La réalisation d’études d’impact sur les droits humains en est une. Les communautés désirant réaliser leur propre étude d’impact sur les droits humains ont besoin d’outils et de formation appropries. C’est là que l’outil Droits Devant a été identifié comme une méthodologie puissante à mettre en œuvre par les communautés.","Insert onscreen:
La llegada de una compañía privada a una comunidad puede ser una buena noticia para la población local. Lamentablemente, en muchos casos, también puede ser lo contrario: las relaciones entre las comunidades y la compañía a veces son difíciles y la consulta es a menudo limitada o inexistente.
Son cada vez más numerosos quienes se inquietan por el impacto de las inversiones privadas en las comunidades locales. Les preocupa que los derechos humanos no se tomen en cuenta como es debido y que se desatiendan o se puedan desatender los impactos negativos. Se han propuesto varias soluciones por diferentes actores para remediar este problema, entre ellas la evaluación de impacto en los derechos humanos.
Las comunidades afectadas por los proyectos de inversión necesitan también sus propias herramientas de evaluación y capacitaciones. Son casos para los que la herramienta Getting it Right ha sido identificada como una metodología potente para su implementación en las comunidades.",EN,,TRUE,Caroline Brodeur,,
C0002,New Sub-Step,Getting Started,,"What is a human rights impact assessment? (Open function and text to be displayed is:)  
A human rights impact assessment (HRIA) is a process to measure the gap between the human rights commitments of the state (human rights in principle) and the actual enjoyment of these rights by rights-holders (human rights in practice). By calling on the participation of all stakeholders involved in the investment project, the assessment seeks to identify the positive and negative impact that the project could have or already has on the human rights of local communities, so that satisfactory solutions can be found.","Qu’est-ce qu’une étude d’impact sur les droits humains ? (Fonction ouverte)
Une étude d’impact sur les droits humains (EIDH) est un processus qui nous permet de mesurer l’écart entre les engagements pris par les États (droits humains en principe) et la possibilité de jouir de ces droits en pratique dans le pays (droits humains en pratique). En faisant appel à la participation de toutes les parties prenantes impliquées dans le projet d’investissement, l’évaluation cherche à identifier l’impact positif et négatif que le projet pourrait avoir ou a déjà sur les droits humains des communautés locales, afin que des solutions satisfaisantes puissent être trouvées.","¿Qué es una evaluación de derechos humanos? (Función abierta)
Una evaluación de impacto en los derechos humanos (EIDH) es un proceso que mide la diferencia entre los compromisos hechos por el Estado (los derechos humanos en principio) y la posibilidad de disfrutar de dichos derechos en la realidad del país (los derechos humanos en la práctica). Al convocar a la participación de todos los interesados implicados en el proyecto de inversión, la evaluación procura identificar el impacto negativo y el positivo que el proyecto  ya tenga o pueda tener en los derechos humanos de las comunidades locales, a fin de poder dar con soluciones satisfactorias.",EN,TRUE,,,,
C0003,New Sub-Step,Getting Started,,"What is the human rights framework? (Open function and text to be displayed:)
Working according to a human rights framework means observing and analyzing a situation based on the rights enshrined in the Universal Declaration of Human Rights and defined in several other treaties or instruments. A human rights framework is based on a certain number of principles:
-	Participation and access to information:  Individuals have the right to be involved in the planning and implementation of decisions affecting their human rights and have the right to access the information they need for genuine participation. 
-	Accountability and access to effective remedies: Duty bearers (governments) are accountable for implementation of their human rights commitments. Citizens must have access to effective remedies in the event their human rights are violated.
-	Indivisibility of rights:  All human rights—social, economic, cultural, civil and political—are indivisible, inter-related and interdependent.
-	Non-discrimination and gender equality:  All human beings are equal and no person should be subjected to discrimination. Special attention should be paid to any action that could lead to discrimination, especially against the most vulnerable groups. Men, women and gender diverse peoples should have the full enjoyment of human rights and fundamental freedoms in the political, economic, social, cultural, civil or any other field.","Travailler selon un cadre des droits humains signifie que l’on observe et analyse une situation en se fondant sur les droits, tels qu’ils sont formulés dans la Déclaration universelle des droits de l’homme et repris dans plusieurs autres traités et instruments. Un cadre des droits humains repose sur un certain nombre de principes :
-	Participation et accès à l’information Les individus ont le droit de participer à la planification et à la mise en oeuvre des décisions affectant leurs droits humains; ils ont le droit d’avoir accès à l’information nécessaire à une participation véritable. 
-	Reddition de comptes et accès à des recours efficaces Les détenteurs d’obligations (les gouvernements) ont la responsabilité de respecter leurs obligations en matière de droits humains. Les citoyens doivent avoir accès à des recours efficaces en cas de violations de leurs droits humains.
-	Indivisibilité des droits Tous les droits humains – sociaux, économiques, culturels, civils et politiques – sont indivisibles, étroitement liés et interdépendants.
-	Non-discrimination et égalité des sexes : Tous les êtres humains sont égaux et personne ne doit subir la discrimination. Une attention particulière doit être accordée à toute action susceptible d’entraîner une discrimination, notamment à l’encontre des groups les plus vulnérables. Les hommes, les femmes et les personnes de sexe différent doivent pouvoir jouir pleinement des droits humains et des libertés fondamentales dans les domaines publique, économique, social, culturel, civil ou autre.","¿Qué es un marco de referencia de derechos humanos?
Trabajar de acuerdo con un marco de referencia de derechos humanos significa observar y analizar una situación basándose en los derechos garantizados en la Declaración Universal de los Derechos Humanos y definidos en otros tratados o instrumentos. Un marco de referencia de derechos humanos se basa en un cierto número de principios: 
► Participación y acceso a la información: todos tienen derecho de participar en la planificación y la realización de decisiones que afecten sus derechos humanos y tienen derecho a acceder a la información necesaria para participar verdaderamente.
► Imputabilidad y acceso a soluciones eficaces: los responsables (Gobiernos) tienen la obligación de implementar sus compromisos relativos a los derechos humanos. Los ciudadanos deben tener acceso a recursos eficaces en caso de que se violen sus derechos humanos.
► No discriminación e igualdad de género:  Todos los seres humanos somos iguales y ninguna persona debe ser sujeta a discriminación. Es necesario prestar especial atención a todo acto que pueda llevar a la discriminación, sobre todo contra los grupos más vulnerables. Hombres, mujeres y personas de diversidad de género deben contar con el pleno goce de los derechos humanos y las libertades fundamentales en lo político, lo económico, lo social, lo cultural, lo civil y cualquier otro ámbito. 
► Indivisibilidad de los derechos: todos los derechos humanos, ya sean sociales, económicos, culturales, civiles o políticos, son indivisibles, están interrelacionados y son interdependientes.",EN,TRUE,,,,
C0004,Edit Text,Getting Started,,"What is this guide?
This guide was originally developed in 2004 by the Canadian organization, Rights & Democracy, to assist communities and the civil society organizations (CSOs) they collaborate with. This assessment guide can also be used by other stakeholder groups, including business and government, who are interested in applying a community-based participatory approach to their work. 
This community-based, participatory process focuses on local communities as experts and human rights advocates. It provides guidance to analyze the human rights impacts of private investments. Beginning in 2005, Rights & Democracy collaborated with five community-based organizations to test the tool. The cases were conducted in Argentina, Peru, Philippines, Democratic Republic of Congo, and Tibet. In 2009, Oxfam and the International Federation for Human Rights (FIDH) partnered with Rights & Democracy to further test and refine the tool through four pilot studies conducted in Bolivia, United States, Ecuador, and Cameroun. In 2011, the tool was translated into a Web-based format, Getting it Right, and was made available in English, Spanish, and French. Although Rights & Democracy closed in 2012, Oxfam and other allies including PODER and FIDH have committed to pursuing the work initiated by Rights & Democracy by improving access by communities, practitioners, and advocates to Getting it Right. 
Oxfam and FIDH developed a training manual to increase awareness and use of this tool. The Training manual provides useful information for backbone organizations in their support role with community-based organizations. The Getting it Right training manual is available in English, French, and Spanish.
In 2021, Oxfam worked with allies to revise and update the Getting it Right tool to reflect developments from the last decade, in addition to integrating a deeper gender analysis within the methodology.","Qu'est-ce que ce guide?
Ce guide a été élaboré en 2004 par l’organisation canadienne Droits et Démocratie pour aider les communautés et les organisations de la société civile (OSC) avec lesquelles elles collaborent. Les entreprises et les autres acteurs pourront aussi faire usage de ce guide s’ils souhaitent comprendre les impacts des investissements sur les droits humains selon une perspective centrée sur la communauté.
Ce processus participatif ancré dans la communauté fait appel aux communautés locales en tant qu’expertes et défenseures des droits humains. Ce guide permet d’analyser les impacts des investissements étrangers privés sur les droits humains. À partir de 2005, Droits et Démocratie a collaboré avec cinq organisations basées dans la communauté pour tester le guide. Les études ont été réalisées en Argentine, au Pérou, aux Philippines, en République démocratique du Congo et au Tibet. En 2009, Oxfam et la Fédération internationale des ligues des droits de l’Homme (FIDH) ont établi un partenariat avec Droits et Démocratie afin de tester de nouveau le guide pour le perfectionner, et ce, à l’aide de quatre études réalisées en Bolivie, aux États-Unis, en Équateur et au Cameroun. En 2011, le guide Droits Devant a été transformé en version en ligne et rendu disponible en anglais, en espagnol et en français. Bien que Droits et Démocratie ait fermé en 2012, Oxfam et d’autres alliés, incluant la FIDH et PODER se sont engagés à poursuivre le travail initié par Droits et Démocratie en améliorant l’accès à Droits Devant pour les communautés, les praticiens et les défenseurs de droits humains. Oxfam et la FIDH ont développé un manuel de formation pour augmenter la sensibilisation et l’utilisation de l’outil. Il fournit de plus des informations utiles pour les organisations dans leur rôle de soutien aux organismes communautaires. Le manuel de formation accompagnant Droits Devant est disponible en anglais, français et espagnol.
En 2021, Oxfam a travaillé avec des alliés pour réviser et mettre à jour l’outil Droits Devant afin de refléter les développements de la dernière décennie, en plus d’intégrer une analyse de genre plus approfondie dans la méthodologie.","¿Qué es esta guía?
Esta guía fue elaborada originalmente en 2004 por la organización canadiense Rights & Democracy para ayudar a las comunidades y a a las organizaciones de la sociedad civil (CSOs) con las que colaboran. The methodology is also suited to company-led processes that emphasize the participation of affected communities. 
Este proceso comunitario y participativo se centra en las comunidades locales como expertas y activistas de derechos humanos. Proporciona orientación para analizar el impacto de las inversiones privadas extranjeras sobre los derechos humanos. Esta guía se centra en las comunidades locales entendidas como expertas y promotoras de los derechos humanos. A principios de 2005, Derechos y Democracia colaboró con cinco organizaciones comunitarias que probasen este instrumento. Se realizaron estudios en Argentina, Filipinas, República Democrática del Congo y Tíbet. En 2009, Oxfam y la Federación Internacional de Derechos Humanos (FIDH) se asociaron con Derechos y Democracia para continuar probando y perfeccionando la guía a través de estudios piloto en Bolivia, Camerún, Ecuador y los Estados Unidos. En 2011, la guía se adaptó a formato web, Todo Derecho, y se publicó en inglés, español y francés. Todo Derecho es la única guía de EIDH concebida específicamente para ser utilizada por organizaciones comunitarias. Aunque Derechos y Democracia dejó de funcionar en 2012, Oxfam y otros aliados como la FIDH y PODER se han comprometido a continuar la labor iniciada por Derechos y Democracia mejorando el acceso a la guía Todo Derecho por parte de comunidades, profesionales y defensores y defensoras de derechos.
El manual de capacitación Todo Derecho está disponible en inglés, francés y español. El manual brinda información útil para las organizaciones vertebradoras (LINK POP-UP) que desempeñan un papel de apoyo a las organizaciones comunitarias.
En 2021, Oxfam trabajó con aliados para revisar y actualizar la herramienta Getting it Right a fin de reflejar los cambios de la última década, además de integrar a la metodología un análisis de género más profundo.",EN,,TRUE,,,
C0005,New Popup,Getting Started,,"Definition pop-up connecting to the previous section- Content: 
By Backbone organizations we mean an organization that may not have direct link with the communities but has strong ties and trust with community-based organizations and has the capacity to support it throughout the process. Backbone organizations can be working at the national or international level. For example, Oxfam, FIDH and PODER are considered BBOs.)","Definition pop-up connecting to the previous section- Content: 
Par organisations en soutien, nous entendons les organisations qui peuvent ne pas avoir de lien direct avec les communautés, mais bénéficient de fortes relations avec les organisations communautaires locales et ont la capacité de les appuyer tout au long du processus. Les organisations en soutien peuvent travailler à l’échelle nationale ou internationale. Par exemple, Oxfam la FIDH et PODER sont considérées comme des organisations en soutien.","Definition pop-up connecting to the previous section - CONTENT:
Se entiende por organización vertebradora aquella que, sin tener un vínculo directo con las comunidades, mantiene lazos fuertes y de confianza con organizaciones comunitarias y posee asimismo la capacidad de brindarles apoyo a lo largo de todo el proceso. Las organizaciones vertebradoras pueden trabajar a escala nacional o internacional. Por ejemplo, Oxfam, FIDH y PODER se consideran BBO.",EN,TRUE,,,,
C0006,New Sub-Step,Getting Started,,"Insert: COBHRA as a tool enabling Gender-Based Analysis+ (GBA+)
With this revised version, Oxfam has committed to further integrate an intersectional gender-based analysis into the tool. Several organizations, including Oxfam, utilize a gender justice framework. Yet throughout this tool, you will see the term gender equality used. That is because international human rights standards, including the Convention on the Elimination of All Forms of Discrimination Against Women or CEDAW, often utilize a gender equality framework. To learn more about Oxfam’s Feminist Principles.","COBHRA comme outil permettant d’analyse comparative entre les sexes+ (ACS+)
Avec cette vision révisée, Oxfam s’est engagé à intégrer davantage une analyse intersectionnelle basée sur le genre dans l’outil. Plusieurs organisations, dont Oxfam, utilisent un cadre de justice de genre. Pourtant, tout au long de cet outil, vous verrez le terme égalité de genre utilisé. Cela s’explique par le fait que les normes internationales en matière de droits humains, notamment la Convention sur l’élimination de toutes les formes de discrimination à l’égard des femmes ou CEDAW, utilisent souvent un cadre d’égalité des sexes. Pour en savoir plus sur les principes féministes d’Oxfam :","COBHRA como herramienta para permitir el Análisis de Género+ (GBA+) 
Con esta versión modificada, Oxfam se compromete a integrar aún más a la herramienta un análisis interseccional de género. Distintas organizaciones, como Oxfam, usan un marco de justicia de género. Sin embargo, por toda esta herramienta, verá usted que se usa el término “igualdad de género”. Esto se debe a que, en las normas internacionales de derechos humanos, como la Convención sobre la eliminación de todas las formas de discriminación contra la mujer (CEDAW, por sus siglas en inglés), suele utilizarse un marco de igualdad de género. Para saber más de los Principios Feministas de Oxfam",EN,TRUE,,,,
C0007,New Popup,Getting Started,,"New Gender pop-up connecting to the previous paragraph
“As an intersectional feminist ally, Oxfam believes in ending sexism and that women should be free of political, social, and economic oppression and exploitation. In support of this aim, our work will be guided by 11 principles”. To learn more, see Oxfam’s Feminist Principles -  https://policy-practice.oxfam.org/resources/feminist-principles-621064/","New Gender pop-up connecting to the previous paragraph 
« En tant qu’allié féministe intersectionnel, Oxfam croit en la fin du sexisme et que les femmes doivent être libérées de l’oppression et de l’exploitation politique, sociale et économique. A l’appui de cet objectif, notre travail sera guidé par 11 principes. » Pour en savoir plus, voir les principes féministes -  https://policy-practice.oxfam.org/resources/feminist-principles-621064/","New Gender pop-up: Como aliada feminista interseccional, Oxfam cree en acabar con el sexismo y en que todas las mujeres deben ser libres de la opresión y la explotación política, social y económica. En apoyo de este objetivo, nuestra labor se orientará según 11 principios. Para saber más favor de consultar los Principios Feministas de Oxfam en https://policy-practice.oxfam.org/resources/feminist-principles-621064/",EN,TRUE,,,,
C0008,New Popup,Getting Started,,"New Gender pop-up: What is Intersectional Gender-Based Analysis (GBA+) 
Intersectional Gender-Based Analysis (GBA+) 
“GBA+ is an analytical process that provides a rigorous method for the assessment of systemic inequalities, as well as a means to assess how diverse groups of women, men, and gender diverse peoples may be impacted differently by investment project. GBA+ is not just about differences between biological sexes and socio-cultural genders... GBA+ considers many other identity factors such as race, ethnicity, religion, age, and mental or physical disability.” In the context of a COBHRA, this analytical lens helps the team explore how the interaction between these factors influences local communities and how they are possibly affected differently by the investment project, as well as the power dynamics with these intersecting identities. And as a result of the combination of these factors, a new dimension of privilege analysis emerges. 
●	Example of intersectionality: An indigenous woman might face different decision-making abilities, or possible barriers, compared to non-indigenous women in the same impacted community.
Source: Adapted from Government of Canada, What is Gender-based Analysis Plus: https://women-gender-equality.canada.ca/en/gender-based-analysis-plus/what-gender-based-analysis-plus.html","New Gender pop-up - Analyse Intersectionnelle Basée sur le Genre (ABG+)
« L’ACS+ est un processus analytique qui fournit une méthode rigoureuse pour l’évaluation des inégalités systémiques, ainsi qu’un moyen d’évaluer comment divers groupes de femmes, d’hommes et de personnes de genre différent peuvent être impactés différemment par un projet d’investissement. L’ACS+ ne concerne pas seulement les différences entre les sexes biologiques et les sexes socioculturels… L’ACS teint compte de nombreux autres facteurs identitaires tels que la race, l’origine ethnique, la religion, l’âge et le handicap mental ou physique. « Dans le contexte d’une COBHARA, cette lentille analytique aide l’équipe à explorer comment l’interaction entre ces facteurs influence les communautés locales et comment elles sont éventuellement affectées différemment par le projet d’investissement, ainsi que la dynamique de pouvoir avec ces identités qui se croisent. Et la combinaison de ces facteurs fait apparaitre une nouvelle dimension de l’analyse des privilèges.
●	Exemple d’intersectionnalité : Une femme autochtone peut être confrontée à des capacités de prises de décision différentes, ou à des obstacles éventuels, par rapport aux femmes non-autochtones de la même communauté affectée.
Source: Adapté de Gouvernement de Canada, What is Gender-based Analysis Plus: https://women-gender-equality.canada.ca/en/gender-based-analysis-plus/what-gender-based-analysis-plus.html","New Gender Pop-up: Qué es el Análisis Interseccional de Género (GBA+) 
“El GBA+ es un proceso analítico que ofrece un método riguroso para la evaluación de las inequidades sistémicas, así como un medio de evaluar los distintos impactos que un proyecto de inversión puede tener en diversos grupos de hombres, mujeres y personas de diversidad de género. El GBA+ no solo se trata de diferencias entre sexos biológicos y géneros socioculturales... El GBA+ toma en cuenta muchos otros factores de identidad como raza, etnicidad, religión, edad y discapacidad mental o física.” En el contexto de una COBHRA, esta lente analítica le ayuda al equipo a explorar cómo influye la interacción entre estos factores en las comunidades locales y cómo influye posiblemente en estas de manera diferente el proyecto de inversión, así como la dinámica de poder con estas identidades en intersección. Y, como resultado de la combinación de estos factores, surge una nueva dimensión de análisis de privilegios. 
●	Ejemplo de interseccionalidad: Una mujer indígena tal vez se enfrente a distintas capacidades de toma de decisión, o a posibles barreras, en comparación con las mujeres no indígenas de la misma comunicad afectada.
Fuente: Adaptado de Gobierno de Canadá, What is Gender-based Analysis Plus: https://women-gender-equality.canada.ca/en/gender-based-analysis-plus/what-gender-based-analysis-plus.html",EN,TRUE,,,,
C0009,Edit Text,Getting Started,,"Add onscreen: In this latest version of the Getting it Right tool, you will see additional information, definitions, and guidance related to how a gendered approach and intersectional lens are critical for the community-based human rights impact assessment process. We used more inclusive language to incorporate those perspectives (pronouns, stakeholder testimony, advice boxes, etc). To clarify the terminology used, here are some key definitions.
We recognize that some of these additions may need to be modified so please note that this tool will be continuously updated, based on your feedback. Please reach out to us with any feedback or advice (hria@oxfam.org).","Add onscreen:
Dans cette dernière version de l’outil Getting it Right, vous trouverez des informations, des définitions et des conseils supplémentaires concernant l’importance d’une approche sexospécifique et d’une optique intersectionnelle pour le processus d’évaluation d’impact sur les droits humain au niveau communautaire. Nous avons utilisé un langage plus inclusif pour incorporer ces perspectives (pronoms, témoignages de parties prenantes, boîtes de conseils, etc.) Pour clarifier la terminologie utilisée, voici quelques définitions clés.
CONNECTING TO POP-UP DEFINITION

Nous sommes conscients que certains de ces ajouts devront peut-être être modifiés. Veuillez donc noter que cet outil sera continuellement mis à jour, en fonction de vos commentaires. N’hésitez pas à nous faire part de vos commentaires ou de vos conseils (hria@oxfam.org).","Add onscreen: Esta versión de la herramienta Getting it Right, la más reciente, contiene más información, definiciones y orientación respecto a cómo un enfoque de género y una lente interseccional son críticos para el proceso de la evaluación de impacto en los derechos humanos impulsada por la comunidad. Usamos un lenguaje más incluyente para incorporar esas perspectivas (pronombres, testimonio de interesados, recuadros de consejos, etc.) Para aclarar la terminología empleada, ofrecemos aquí algunas definiciones clave. - CONNECTING TO POP-UP DEFINITION

Reconocemos que tal vez haga falta modificar algunos de estos nuevos elementos, por lo que pedimos tomar en cuenta que esta herramienta será objeto de modificaciones continuas con base en los comentarios de quienes la leen y usan. Por favor no duden en contactarnos con cualquier comentario o consejo (hria@oxfam.org).",EN,,TRUE,,,
C0010,New Popup,Getting Started,,"New Definition Pop-up called: Key definitions
o	Sex: “The biological differences between men, women, and intersex persons, i.e. the biological, physical, and genetic composition with which we are born” (Gender Justice at Oxfam)
o	Gender refers to the socially constructed roles, behaviors, expressions and identities of girls, women, boys, men, and gender diverse people. It influences how people perceive themselves and each other, how they act and interact, and the distribution of power and resources in society. Gender identity is not confined to a binary (girl/boy, woman/man) nor is it static; it exists along a continuum and can change over time. 
o	Gender Diversity: There is considerable diversity in how individuals and groups understand, experience and express gender through the roles they take on, the expectations placed on them, relations with others and the complex ways that gender is institutionalized in society. Gender diversity is an umbrella term which encompasses the gender and sexual identities and expressions that are nonconforming with the majority view of what it means to be a man or woman in society: People who are not male or female on a biological or genetic level (i.e. intersex), people with gender non-conforming identities and expressions, and people with diverse sexual orientations. Groups of people identifying, or perceived, as gender diverse challenge traditional gender roles and norms in different ways. As such, they are vulnerable to face discrimination, violence and stigma. 
o	Intersectionality: An individual’s experience as shaped by intersecting factors of identity such as gender-orientation, race, ethnicity, class, religion, ability, and socioeconomic status that contribute to their identity and experiences of marginalization and inequality. Understanding how multiple dimensions of identity may interact or overlap to shape a person’s experience of discrimination is referred to as “intersectionality”.
o	Gender Justice: the full equality and equity between people of all genders in all spheres of life, resulting in women and gender diverse people jointly, and on an equal basis with men, defining and shaping the policies, structures and decisions that affect their lives and society as a whole.
o	Gender Equality: the full enjoyment of human rights and fundamental freedoms in the political, economic, social, cultural, civil or any other field among men, women and gender diverse peoples
o	Gender transformative process: processes that create opportunities and support for individuals to actively challenge gender norms, promote positions of social and political influence for women and gender diverse people in communities, and address systemic inequality between people of different genders
o	Sex disaggregated data: Data that is collected and presented separately on men, women, and gender diverse peoples. The collection, analysis, and reporting of this data should occur throughout the project to support gender-sensitive planning and monitor and evaluate impacts on various genders. Data should also be disaggregated by sex, gender, age, ethnicity, indigeneity (dis)ability, and any other form of identity or marginalization relevant to the community to give a more comprehensive analysis. 

For more definitions, please consult Oxfam Inclusive Language Guide https://oxfam.box.com/s/ozrn2w29tnle87wkhl82eu1mvxaro5ca","New definition pop-up calld:Définitions clés
o	Le sexe : « Les différences biologiques entre les hommes, les femmes et les personnes intersexuées, c’est-à-dire la composition biologique, physique et génétique avec laquelle nous naissons » (Gender Justice at Oxfam)
o	Le genre fait référence aux rôles, comportements, expressions et identités socialement construits des filles, des femmes, des garçons, des hommes et des personnes de sexe différent. Il influence la façon dont les gens se perçoivent et perçoivent les autres, la façon dont ils agissent et interagissent, ainsi que la répartition du pouvoir et des ressources dans la société. L’identité de gendre ne se limite pas à un modèle binaire (fille/ garçon, femme/homme) et n’est pas non plus statique ; elle s’inscrit dans un continuum et peut évoluer avec le temps.
o	Diversité de genre : Il existe une diversité considérable dans la manière dont les individus et les groupes comprennent, vivent et exprime le genre à travers les rôles qu’ils assument, les attentes à leur égard, les relations avec les autres et les manières complexe dont le genre est institutionnalisé dans la société. La diversité de genre est un terme générique qui englobe les identités et expressions sexuelles et de genre qui ne correspondent pas à la vision majoritaire de ce que signifie être un homme ou une femme dans la société : Les personnes qui ne sont pas de sexe masculin ou féminin au niveau biologique ou génétique (c’est-à-dire les personnes intersexuées), les personnes ayant des identités et des expressions non conformes au genre et les personnes ayant des orientations sexuelles diverses. Les groupes de personnes identifiées ou perçues comme étant de genre différent remettent en question les rôles et les normes traditionnels de genre de différentes manières. En tant que tels, ils sont vulnérables à la discrimination, à la violence et à la stigmatisation.
o	Intersectionnalité : L’expérience d’une personne est façonnée par des facteurs d’identité qui se croisent, tels que l’orientation sexuelle, la race, l’ethnicité, la classe, la religion, les capacités et le statut socio-économique, et qui contribuent à son identité et à ses expériences de marginalisation et d’inégalité. Comprendre comment de multiples dimensions de l’identité peuvent interagir ou se chevaucher pour façonner l’expérience de la discrimination d’une personne est appelé « intersectionnalité ».
o	Justice de genre : la pleine égalité et l’équité entre les personnes de tous les sexes dans tous les domaines de la vie, ce qui permet aux femmes et aux personnes de sexe différent de définir et de façonner conjointement, et sur un pied d’égalité avec les hommes, les politiques, les structures et les décisions qui affectent leur vie et la société dans son ensemble.
o	Egalité de genre : la pleine jouissance des droits humains et des libertés fondamentales dans les domaines politique, économique, social, culturel, civil ou autre par les hommes, les femmes et les personnes de genres différents.
o	Processus de transformation de genre : processus qui créent des opportunités et un soutien pour les individus afin de défier activement les normes de genre, de promouvoir des positions d’influence sociale et politique pour les femmes et les personnes de genre différent dans les communautés, et d’aborder l’inégalité systémique entre les personnes de genre différent.
o	Données ventilées par sexe : Données qui sont collectées et présentées séparément sur les hommes, les femmes et les peuples de genre différent. La collecte, l’analyse et la présentation de ces données doivent se faire tout au long du projet afin de soutenir une planification sensible au genre et de suivre et évaluer les impacts sur les différents genres. Les données doivent également être ventilées par sexe, genre, âge, ethnicité, indigénéité (dis) capacité, et tout autre forme d’identité ou de marginalisation pertinente pour la communauté afin de donner une analyse plus complète.

Pour plus de dé","New Definition pop-up: Definiciones clave
o	Sexo: “Diferencias biológicas entre hombres, mujeres y personas intersexuales, es decir, la composición biológica, física y genética con la que nacemos” (Justicia de Género de Oxfam)
o	Género se refiere a los roles, expresiones e identidades de construcción social de niñas, muchachas, mujeres, niños, muchachos, hombres y gente de género diverso. Influye en la percepción que cada persona tiene de sí misma y de la demás gente, en cómo actuamos e interactuamos y en la distribución del poder y los recursos en la sociedad. La identidad de género no está confinada a un binario (niña / muchacha / mujer, niño / muchacho / hombre); existe sobre un continuo y puede ir cambiando con el tiempo. 
o	Diversidad de género: Existe una diversidad considerable en el modo como tanto personas como grupos entienden y expresan el género mediante los papeles que asumen, las expectativas que se les imponen, sus relaciones con otra gente y las complejas maneras como se institucionaliza el genero en la sociedad. La diversidad de género es un término aglutinador que abarca las identidades y expresiones de género y de sexo que divergen de la visión de la mayoría de lo que significa ser hombre o mujer en la sociedad: gente que no es ni hombre ni mujer en lo biológico o lo genético (o sea, que es intersexual), gente de identidades y expresiones de género divergentes y gente de orientaciones sexuales diversas. Los grupos de personas que se identifican o que son percibidas como de género diverso chocan con los papeles y las normas de género tradicionales de distintas maneras. Como tales, son vulnerables a enfrentar discriminación, violencia y estigma. 
o	Interseccionalidad: La experiencia de una persona, tal y como le dan forma factores de identidad intersectados como la orientación de género, la raza, la etnicidad, la clase social, la religión, la capacidad y el estatus socioeconómico que contribuyen a su identidad y vivencias de marginación e inequidad. Entender cómo pueden interactuar o traslaparse múltiples dimensiones de identidad para darle forma a la vivencia de discriminación de una persona es lo que se denomina “interseccionalidad”.
o	Justicia de género: la plena igualdad y equidad entre personas de todos los géneros en todas las esferas de la vida, con el resultado de que las mujeres y las personas de diversidad de género, de manera conjunta y en pie de igualdad, definan y les den forma a las políticas, estructuras y decisiones que afectan su vida y a la sociedad en su conjunto.
o	Igualdad de género: el goce pleno de los derechos humanos y las libertades fundamentales en lo político, lo económico, lo social, lo cultural, lo civil y cualquier otro ámbito entre hombres, mujeres y personas de género diverso.
o	Proceso transformativos de género: procesos que crean oportunidades y apoyo para que las personas cuestionen de manera activa las normas de género, promuevan posiciones de influencia social y política para las mujeres y personas de género diverso en las comunidades, y atender la desigualdad sistémica entre las personas de distintos géneros.
o	Datos desglosados por género : Datos que se recopilan y se presentan por separado respecto a hombres, mujeres y personas de género diverso.  Tales datos deben recabarse, analizarse y reportarse en todo momento del proyecto a fin de apoyar una planificación sensible al género y monitorear y evaluar los impactos en distintos géneros. Los datos deben ir desglosados por sexo, género, edad, etnicidad, indigenidad, (dis)capacidad y toda otra forma de identidad o marginación relevante para la comunidad, a fin de proporcionar un análisis más completo. 

Si desea conocer más definiciones, por favor consulte la Guía de Lenguaje Incluyente de Oxfam en https://oxfam.box.com/s/ozrn2w29tnle87wkhl82eu1mvxaro5ca",EN,TRUE,,,,
